Aadhar_No,Name,E-mail,Phone_No,Age,Gender,City,Monthly_Income,Education,Recharge_Frequency,Streaming_Services_Count,Streaming_Payment_Delay_Days,VPN_Hours_Week,Betting_App_Present,UPI_Failures_per_month,SIM_Card_Changes,Trading_Accounts,Family_Defaulters,Partner,Dependents,Medical_Bills,Utility_Bill_Monthly,Utility_Bill_Defaults_per_year,Ecommerce_Returns_per_month,Registered_Vehicles,Vehicle_Challans_per_year,Certificates_Count,Licenses_Count,Insurances_Count,FDs_Dissolved,International_Transactions_per_year,Public_Memberships,Smart_Cards,Family_Accounts_Opened,Ride_Review_Score,Pet_Bills_per_year,Truecaller_Flag,Reviews_Received_Category,Social_Sentiment
107395928407,Lajita Chatterjee,issaccaleb@example.net,0863323430,20,Male,VILLAGE,15432.0,Secondary,5,1.0,5,0.8,1,2.0,1,0,1,Never Married,0,658,321.0,0,1,0,0,1,0,0,0,0,0,0,0,3.8,0,Golden,4 Star,Positive
258917134721,Hemangini Lalla,sanyabutala@example.com,4488839237,24,Female,VILLAGE,16914.0,Secondary,7,1.0,1,11.9,0,5.0,0,0,1,Never Married,1,187,54.0,0,0,0,0,1,1,0,0,1,0,0,0,3.9,0,Golden,4 Star,Positive
924600269755,Tripti Yadav,ekaja51@example.org,2285825854,28,Male,TIER-I,18993.0,Secondary,4,1.0,4,10.9,0,1.0,2,0,2,Never Married,1,331,2143.0,0,2,0,0,2,0,0,0,2,1,1,3,3.2,0,Golden,4 Star,Negative
188551408800,Kritika Brar,mitali35@example.com,9196034823,59,Female,TIER-II,34325.0,Tertiary or more,2,1.0,2,6.3,0,0.0,1,0,0,Currently Married,2,558,249.0,0,1,0,0,3,0,1,0,0,0,0,2,4.2,0,Golden,3 Star,Negative
974505391417,Janaki Handa,nbutala@example.net,8736932380,42,Male,TIER-I,36027.0,Tertiary or more,1,1.0,4,0.0,1,2.0,0,0,1,Never Married,0,153,1567.0,0,8,4,0,1,0,0,0,2,2,2,0,5.0,14047,Golden,3 Star,Negative
190224662780,Chakradev Kari,manbir11@example.org,4758466486,46,Male,VILLAGE,12865.0,Secondary,6,0.0,3,8.4,0,0.0,1,0,1,Never Married,3,1293,993.0,0,0,0,0,0,2,1,0,0,1,0,3,4.5,0,Golden,3 Star,Negative
308412320218,Fariq Kaul,hamsinibhakta@example.net,3712063175,46,Male,VILLAGE,9681.0,Primary or less,9,1.0,4,2.1,1,2.0,2,0,1,Currently Married,1,270,0.0,0,1,0,1,1,0,1,1,0,0,0,2,4.8,0,Blue,4 Star,Positive
350825492990,Lajita Mall,qbanerjee@example.net,7601458408,38,Male,VILLAGE,10401.0,Primary or less,8,0.0,7,3.6,0,3.0,2,0,2,Never Married,4,1166,959.0,0,1,3,0,2,0,2,0,0,0,0,1,3.3,0,Golden,4 Star,Positive
826049900543,Janya Gaba,cherianhemal@example.net,1572814361,47,Female,TIER-I,55558.0,Tertiary or more,1,2.0,0,0.0,0,1.0,0,0,0,Currently Married,2,1202,2218.0,0,4,2,0,3,0,2,0,1,1,2,0,4.5,0,Golden,5 Star,Positive
990057975566,Isha Kadakia,omkaar62@example.net,1146036118,40,Male,VILLAGE,4106.0,Secondary,18,1.0,15,2.8,1,6.0,0,3,0,Never Married,1,407,1074.0,2,0,0,0,4,0,2,0,0,2,0,0,3.6,0,Golden,5 Star,Positive
912137970621,Ekbal Garg,vincent71@example.org,5554654268,32,Female,VILLAGE,8932.0,Primary or less,22,2.0,6,2.8,0,3.0,2,0,1,Never Married,1,313,2206.0,0,0,0,0,1,1,1,0,1,1,0,2,5.0,0,Golden,5 Star,Positive
849980257213,Nihal Shere,ishanimagar@example.com,3771403445,39,Female,TIER-I,19261.0,Primary or less,8,0.0,1,4.2,0,1.0,1,0,0,Never Married,3,213,2418.0,0,3,3,1,0,0,0,0,0,1,0,1,4.6,0,Blue,3 Star,Negative
316391026539,Anamika Kanda,ekalingachowdhury@example.org,6600301196,38,Male,TIER-II,15203.0,Secondary,5,1.0,6,0.0,1,1.0,1,0,1,Currently Married,0,406,1663.0,0,0,0,0,1,0,0,0,0,0,0,1,4.2,0,Golden,4 Star,Negative
336151178483,Daksh Karnik,khoslaom@example.org,3869742173,48,Female,VILLAGE,,Tertiary or more,9,0.0,5,0.0,0,10.0,0,0,1,Currently Married,2,391,0.0,0,0,1,0,3,0,1,0,0,1,0,0,3.6,0,Golden,4 Star,Negative
372587671032,Diya Rattan,urmimajumdar@example.org,0957093409,61,Male,TIER-III,9689.0,Primary or less,8,0.0,6,0.0,0,2.0,0,0,1,Currently Married,4,275,489.0,0,0,2,0,0,0,1,1,0,1,0,4,3.7,0,Golden,4 Star,Positive
662039164388,Dominic Kakar,qasim78@example.org,0811364034,35,Male,TIER-I,23577.0,Secondary,5,3.0,0,4.9,0,0.0,1,0,0,Never Married,0,181,2398.0,0,4,1,0,1,2,0,0,1,1,0,2,4.4,0,Golden,3 Star,Positive
317670263430,Simon Tata,raobhavya@example.org,3770062795,45,Female,TIER-I,,Primary or less,6,2.0,1,8.0,1,0.0,1,0,0,Currently Married,1,95,1103.0,0,2,0,0,1,0,1,1,1,0,0,1,4.1,0,Red,4 Star,Positive
187834225480,Tara Dhar,zinal39@example.net,2954496695,24,Male,VILLAGE,5679.0,Primary or less,25,0.0,10,2.0,0,7.0,1,0,1,Currently Married,0,400,0.0,0,0,0,0,1,1,0,0,0,0,0,1,5.0,0,Golden,5 Star,Negative
813021543697,Liam Koshy,gulatineelima@example.com,5627528001,46,Male,TIER-I,39884.0,Primary or less,2,0.0,2,2.2,0,0.0,1,0,1,Never Married,3,866,2118.0,0,0,2,0,2,0,2,0,0,2,0,1,3.6,0,Golden,5 Star,Positive
666687441496,Priya Rastogi,anushasant@example.org,4479459235,33,Female,TIER-I,41350.0,Primary or less,4,1.0,0,0.0,0,1.0,0,0,1,Never Married,1,175,1759.0,0,2,0,0,0,0,2,0,1,0,0,1,4.0,0,Golden,4 Star,Positive
355822374925,Theodore Devi,lkashyap@example.com,2648971001,21,Female,VILLAGE,5146.0,Primary or less,16,0.0,11,3.3,1,9.0,0,0,1,Never Married,0,152,483.0,0,1,1,1,0,0,1,1,0,0,0,1,5.0,0,Golden,5 Star,Positive
134428312921,Gavin Batta,bajajrayaan@example.com,2945761304,33,Female,VILLAGE,13266.0,Primary or less,5,0.0,4,1.9,0,3.0,1,0,1,Currently Married,1,181,538.0,0,2,0,0,2,0,0,0,0,0,0,2,3.9,0,Golden,4 Star,Negative
324329980801,Michael Dutta,krisha38@example.com,1423552833,40,Female,VILLAGE,10414.0,Primary or less,14,0.0,7,0.4,1,4.0,1,0,2,Currently Married,1,250,362.0,0,1,0,0,0,0,0,1,0,0,0,1,4.6,0,Golden,5 Star,Positive
457517482075,Devansh Rajan,rudramisra@example.com,5679813026,25,Female,TIER-III,19339.0,Primary or less,3,2.0,2,14.4,0,1.0,0,0,0,Currently Married,1,82,108.0,0,0,0,0,0,1,0,0,0,1,0,0,4.4,0,Golden,4 Star,Positive
575380997051,Upadhriti Wadhwa,sathvikbarman@example.org,7115882187,54,Female,TIER-III,6796.0,Primary or less,12,0.0,6,0.0,0,4.0,0,0,0,Currently Married,2,1102,378.0,0,1,0,0,1,0,1,0,0,0,0,1,4.9,2124,Golden,5 Star,Negative
953023440299,Advay Contractor,suhanikumar@example.org,1079116114,23,Male,VILLAGE,8079.0,Tertiary or more,13,0.0,3,1.6,0,1.0,2,0,0,Never Married,0,439,164.0,0,0,0,0,4,0,0,0,0,0,0,1,4.4,0,Blue,5 Star,Positive
848068904994,Harini Choudhury,raopanini@example.com,1198309754,54,Female,VILLAGE,11748.0,Primary or less,10,0.0,4,0.0,0,3.0,1,0,2,Currently Married,1,340,74.0,0,0,2,2,2,1,5,0,0,1,0,2,4.3,0,Red,4 Star,Positive
982147888208,Radhika Dugar,ansh07@example.com,8852377487,43,Male,TIER-I,15966.0,Primary or less,7,3.0,1,0.8,0,1.0,1,0,2,Currently Married,2,406,2003.0,0,4,2,0,0,0,0,2,0,0,0,1,4.3,0,Golden,5 Star,Positive
800862367281,Aarush Lall,hiral45@example.org,8812532512,32,Male,TIER-I,76172.0,Primary or less,0,2.0,0,0.5,0,0.0,1,0,0,Never Married,0,368,1328.0,0,1,2,0,0,3,2,0,0,0,0,1,4.4,0,Golden,4 Star,Positive
545625884035,Yashica Cherian,malhotrajagat@example.net,2679909666,34,Female,TIER-I,22869.0,Primary or less,8,2.0,0,6.7,0,1.0,0,0,1,Never Married,1,756,2296.0,0,0,1,0,3,0,1,0,0,2,1,1,4.2,0,Blue,4 Star,Positive
106120997885,Yashica Issac,omkaar33@example.com,5383957164,44,Female,VILLAGE,10607.0,Primary or less,7,2.0,1,4.9,0,5.0,2,0,2,Currently Married,1,396,314.0,0,1,0,1,1,0,0,0,0,2,0,2,5.0,0,Golden,4 Star,Negative
672123753013,Kashvi Edwin,goelethan@example.org,0037090703,40,Female,TIER-III,17964.0,Primary or less,5,1.0,2,0.0,1,1.0,0,0,1,Never Married,2,314,474.0,0,1,0,0,4,0,2,1,1,1,0,2,4.1,963,Golden,5 Star,Positive
553409820419,Ekiya Suresh,memonyug@example.net,6932070983,42,Female,TIER-I,32801.0,Secondary,1,1.0,2,0.0,0,2.0,0,0,1,Currently Married,0,159,2050.0,0,3,1,0,2,1,1,0,0,0,1,3,5.0,0,Blue,4 Star,Positive
327767756252,Isaac Patil,yashodaagarwal@example.net,6748762965,34,Male,TIER-II,30812.0,Primary or less,2,2.0,2,7.0,0,,0,0,1,Never Married,0,480,708.0,0,2,1,1,1,0,2,2,0,0,0,2,4.7,0,Golden,1 Star,Positive
919661371793,Wriddhish Bhardwaj,tkari@example.org,5657267654,37,Female,TIER-I,67194.0,Primary or less,1,1.0,2,0.0,0,0.0,1,0,0,Never Married,1,452,1517.0,0,3,0,0,1,0,2,0,0,0,1,0,4.4,0,Blue,4 Star,Positive
793186891977,Farhan Chada,wadhwaamruta@example.net,8179477950,64,Male,TIER-II,14243.0,Primary or less,10,2.0,5,3.6,0,1.0,1,0,0,Never Married,3,468,1890.0,0,0,0,0,1,0,0,0,0,0,1,1,4.7,0,Golden,4 Star,Positive
915728788451,Ekapad Walia,senguptakala@example.net,2202626930,29,Female,VILLAGE,7892.0,Primary or less,11,3.0,6,4.4,0,8.0,1,0,1,Never Married,1,113,617.0,0,0,0,0,1,1,0,0,0,0,0,2,2.9,5965,Golden,4 Star,Positive
158958184286,Kabir Soman,raionkar@example.net,5257330907,35,Female,VILLAGE,11443.0,Tertiary or more,8,2.0,6,0.0,0,3.0,1,0,0,Currently Married,3,453,838.0,1,0,0,0,0,0,0,0,0,3,0,2,5.0,0,Golden,5 Star,Negative
303265944846,Alka Wable,sathebanjeet@example.org,5168522476,31,Female,TIER-I,14961.0,Primary or less,6,1.0,1,0.0,0,2.0,1,0,3,Never Married,0,342,2519.0,0,1,2,0,2,1,1,0,1,1,2,5,4.2,0,Golden,4 Star,Positive
957148530125,Siddharth Zacharia,vidhi31@example.net,5837990053,45,Male,TIER-II,29619.0,Primary or less,2,1.0,0,5.8,1,1.0,1,0,1,Never Married,1,428,1228.0,0,2,0,0,2,0,3,1,0,0,0,0,3.9,0,Golden,5 Star,Positive
271130969812,Devika Rastogi,dkant@example.net,3276334228,45,Male,TIER-I,63824.0,Primary or less,3,1.0,0,2.9,0,0.0,1,1,1,Currently Married,3,1320,1558.0,0,1,0,1,3,0,3,0,1,0,1,1,4.1,0,Blue,4 Star,Positive
992267945708,Raksha Varughese,wparmar@example.net,7237225931,31,Female,VILLAGE,12813.0,Secondary,11,0.0,4,0.0,0,1.0,2,0,0,Never Married,0,230,1084.0,0,2,2,0,2,3,1,0,1,1,0,1,4.7,0,Golden,4 Star,Positive
450210311022,Jai Kota,prasadnikita@example.com,0089423403,23,Male,TIER-III,12751.0,Primary or less,6,1.0,10,0.0,1,2.0,0,0,1,Never Married,0,157,542.0,0,1,0,0,0,1,0,0,0,0,0,0,5.0,0,Blue,2 Star,Positive
325858376471,Devansh Nigam,dayamai92@example.net,3331883845,19,Male,VILLAGE,12711.0,Primary or less,9,0.0,1,1.6,1,2.0,0,0,1,Never Married,0,60,236.0,0,0,1,0,4,1,1,0,0,0,0,2,3.4,0,Red,5 Star,Positive
761275736280,Victor Kannan,mandajagrati@example.net,7804737198,35,Male,VILLAGE,9153.0,Secondary,12,0.0,9,13.0,0,4.0,2,0,0,Currently Married,0,220,360.0,1,1,0,0,1,0,0,0,0,0,0,0,3.0,0,Golden,5 Star,Positive
629466384876,Ekavir Bhargava,narangyashvi@example.net,9680645544,34,Female,TIER-III,6961.0,Secondary,16,0.0,8,14.0,0,4.0,1,0,0,Never Married,0,278,884.0,0,0,0,0,1,1,3,0,0,1,0,1,3.7,0,Golden,5 Star,Positive
273071176860,Ekansh Balay,aaravrajan@example.org,8379264053,64,Female,VILLAGE,8008.0,Primary or less,10,1.0,6,0.3,0,5.0,1,0,0,Currently Married,3,613,0.0,0,2,1,1,0,1,0,0,1,1,0,0,3.5,0,Golden,5 Star,Positive
160839358252,Ekavir Varkey,yachana88@example.com,8859342883,36,Female,VILLAGE,7222.0,Secondary,13,0.0,10,0.0,0,9.0,0,1,0,Currently Married,0,347,0.0,1,0,0,0,2,0,0,1,0,0,0,0,4.2,2939,Golden,4 Star,Negative
374945064792,Arya Sunder,modimadhav@example.net,9978331503,30,Male,TIER-I,27780.0,Primary or less,3,1.0,2,0.0,0,0.0,2,0,3,Never Married,2,220,1037.0,0,4,2,0,3,2,1,0,0,0,1,1,3.5,717,Blue,4 Star,Positive
402466206216,Kevin Solanki,xluthra@example.com,9655102506,51,Male,TIER-III,13001.0,Primary or less,9,1.0,4,3.9,0,3.0,0,0,0,Never Married,1,203,709.0,0,0,0,0,2,0,2,0,1,0,0,0,4.3,0,Golden,4 Star,Positive
475358157952,Urvashi Ray,gardeyash@example.org,0673476714,37,Male,TIER-III,10569.0,Tertiary or more,8,0.0,5,7.1,0,1.0,4,0,0,Never Married,0,428,1018.0,0,2,0,1,3,0,3,0,0,0,0,0,4.0,0,Golden,5 Star,Positive
693559508466,Girindra Chatterjee,riagola@example.com,3289591038,40,Female,TIER-III,13534.0,Primary or less,7,1.0,6,0.0,0,2.0,0,0,0,Never Married,1,194,875.0,0,0,0,0,1,0,0,0,0,1,0,2,5.0,0,Golden,4 Star,Positive
446652574087,Irya Sampath,jeremiahvasa@example.net,7622155963,24,Female,TIER-I,49281.0,Secondary,3,1.0,1,5.8,1,0.0,0,0,1,Never Married,0,92,1772.0,0,2,1,0,0,1,1,0,0,0,0,2,4.1,0,Golden,5 Star,Positive
799178480034,Unni Bhagat,doraniharika@example.net,3994959403,34,Male,TIER-I,32138.0,Secondary,7,1.0,2,5.9,1,2.0,0,0,0,Never Married,0,151,443.0,0,0,1,0,1,0,1,0,0,1,0,0,5.0,0,Golden,5 Star,Positive
240041531770,Darsh Rau,panditfiyaz@example.org,4656531708,55,Male,TIER-II,26812.0,Tertiary or more,4,1.0,3,5.5,0,1.0,1,1,2,Currently Married,1,1664,2246.0,0,3,1,0,0,0,1,0,0,1,0,1,5.0,0,Golden,5 Star,Negative
121158301161,Ikbal Kothari,duttareyansh@example.net,2102736632,40,Male,TIER-I,12890.0,Primary or less,8,2.0,4,2.2,0,0.0,0,0,0,Never Married,0,168,604.0,0,0,2,0,0,1,1,0,1,1,0,1,3.8,0,Golden,5 Star,Positive
275728413723,Ranveer Yadav,lmorar@example.net,2234874939,33,Female,VILLAGE,8203.0,Primary or less,12,2.0,4,0.0,1,7.0,0,0,0,Never Married,0,294,32.0,0,0,0,0,1,0,0,0,0,1,1,1,4.8,0,Golden,4 Star,Negative
679176505544,Logan Sami,finntiwari@example.org,1910904886,41,Female,VILLAGE,12871.0,Primary or less,9,1.0,6,0.6,0,2.0,0,0,0,Never Married,1,4120,0.0,0,0,0,0,3,0,3,3,0,0,1,1,3.6,0,Golden,5 Star,Positive
406873053963,Arya Shere,vsuri@example.com,2644789378,53,Female,VILLAGE,15039.0,Secondary,6,0.0,7,3.1,0,5.0,0,0,0,Currently Married,0,241,1427.0,0,3,1,0,1,0,2,0,0,0,0,2,4.1,0,Golden,4 Star,Positive
791899517984,Faqid Savant,ekiyabasu@example.org,1760909371,30,Female,TIER-III,18023.0,Primary or less,2,0.0,3,3.6,0,1.0,0,0,0,Never Married,1,218,1433.0,0,0,0,0,2,0,1,0,0,1,0,0,3.9,0,Golden,5 Star,Positive
303456115190,Chandresh Zachariah,esen@example.org,0457346694,37,Male,VILLAGE,9108.0,Primary or less,11,1.0,4,5.3,0,2.0,3,0,1,Currently Married,1,654,381.0,0,1,1,0,1,2,1,0,0,0,0,0,3.7,0,Golden,5 Star,Positive
747117745725,Girik Khalsa,shettykritika@example.net,8780528905,57,Female,VILLAGE,11093.0,Secondary,9,0.0,3,6.5,0,5.0,1,0,0,Currently Married,1,484,781.0,0,0,0,0,0,0,1,0,0,0,1,0,4.1,0,Golden,4 Star,Positive
523446399659,Niharika Sunder,agrawaltriveni@example.net,8378477198,27,Male,TIER-II,12722.0,Primary or less,13,0.0,6,5.4,0,2.0,0,0,2,Never Married,0,191,904.0,0,1,0,0,1,1,0,0,0,0,0,1,5.0,0,Red,5 Star,Negative
543561552597,Tanay Rattan,cmanne@example.com,4345096859,44,Male,VILLAGE,11965.0,Primary or less,8,0.0,0,0.0,0,4.0,0,0,1,Never Married,1,173,912.0,1,0,1,1,2,1,2,1,0,2,0,3,3.7,0,Golden,5 Star,Negative
926278379234,Nitesh Raghavan,urvashi58@example.net,2502308996,40,Male,TIER-II,14242.0,Primary or less,10,0.0,1,6.5,0,0.0,0,0,0,Never Married,0,942,1462.0,0,2,1,0,1,0,1,0,0,0,0,0,3.2,0,Golden,2 Star,Positive
533670201262,Madhavi Lanka,wazirbarman@example.com,4343548695,42,Male,VILLAGE,11030.0,Primary or less,10,2.0,5,1.8,1,7.0,0,0,3,Currently Married,1,358,414.0,0,1,0,0,3,0,1,3,0,1,1,0,3.1,0,Golden,4 Star,Negative
984114352770,Bhavika Sampath,patlachatresh@example.com,5603871088,33,Male,VILLAGE,7931.0,Secondary,8,0.0,17,2.1,1,4.0,0,0,1,Never Married,1,325,979.0,0,2,0,0,1,0,2,0,0,0,0,3,4.7,0,Golden,4 Star,Positive
103099804676,Mohammed Gupta,uchander@example.net,6946604903,32,Female,VILLAGE,7780.0,Primary or less,10,1.0,3,0.0,0,3.0,2,0,0,Currently Married,1,146,594.0,0,2,1,0,3,1,0,0,0,2,0,0,3.6,0,Red,4 Star,Positive
538260325146,Teerth Bhardwaj,ldada@example.com,4769116122,42,Male,TIER-I,47016.0,Primary or less,2,2.0,1,0.0,0,0.0,0,0,0,Never Married,2,473,2788.0,0,1,1,0,2,1,5,0,1,0,2,0,4.1,5630,Blue,5 Star,Positive
687167826126,Dipta Bhandari,dhritimody@example.org,9655868190,29,Female,TIER-II,21216.0,Tertiary or more,4,1.0,1,5.1,0,0.0,0,0,0,Never Married,1,784,1755.0,0,1,2,0,2,1,1,1,0,0,0,2,3.7,0,Golden,5 Star,Positive
160605814617,Vansha Thakkar,jacobjayaraman@example.org,8933352866,35,Female,TIER-I,33310.0,Primary or less,2,2.0,1,7.2,0,0.0,0,0,2,Never Married,0,380,1801.0,0,2,1,1,1,1,3,0,1,1,1,0,3.8,0,Golden,4 Star,Negative
277980595067,Dakshesh Trivedi,deokalpit@example.org,5002957380,28,Male,TIER-III,9178.0,Secondary,5,2.0,3,2.4,0,4.0,1,0,1,Never Married,1,60,445.0,0,3,0,0,0,0,0,0,0,0,0,0,5.0,0,Golden,3 Star,Positive
977039705778,Quincy Biswas,ansh31@example.org,4571815806,19,Male,TIER-III,19552.0,Primary or less,7,0.0,3,13.8,1,3.0,1,0,0,Never Married,0,1348,646.0,0,2,1,0,1,1,1,0,0,0,0,1,3.9,0,Golden,4 Star,Positive
370135247711,Wahab Raval,abalan@example.org,3650551919,59,Female,TIER-II,24506.0,Primary or less,3,1.0,2,3.6,0,1.0,0,0,1,Currently Married,3,415,1212.0,0,0,1,0,0,0,0,0,1,1,0,1,4.1,0,Blue,4 Star,Negative
321462582268,Yatin Baral,sarmanihal@example.com,1867170804,35,Female,VILLAGE,10698.0,Tertiary or more,10,1.0,5,1.4,0,4.0,0,0,1,Currently Married,0,497,701.0,1,0,1,0,4,1,0,0,0,1,0,0,2.8,0,Golden,5 Star,Positive
511009111939,Oni Virk,edhitha80@example.org,2850719612,59,Male,TIER-II,22156.0,Primary or less,5,1.0,4,0.0,0,1.0,2,0,0,Currently Married,4,426,26.0,0,0,0,0,1,0,1,0,0,0,0,1,4.1,0,Red,5 Star,Positive
746841047270,Advika Jayaraman,gchanda@example.com,1349522094,26,Female,VILLAGE,5556.0,Primary or less,23,0.0,10,5.1,1,9.0,2,0,1,Never Married,0,707,857.0,0,1,0,0,1,0,0,0,0,0,0,4,3.5,0,Golden,5 Star,Negative
831016581660,William Lanka,tatafaris@example.org,1775885627,40,Female,TIER-I,35729.0,Primary or less,2,4.0,1,5.1,0,1.0,1,0,0,Currently Married,3,1395,941.0,0,3,1,0,0,1,1,0,2,0,2,1,3.7,0,Golden,5 Star,Negative
254373380620,Karan Mital,pallameera@example.com,6112620306,28,Female,TIER-II,13238.0,Primary or less,5,0.0,3,6.6,0,0.0,0,0,0,Never Married,0,110,997.0,0,1,1,0,1,1,0,1,0,0,0,1,3.6,0,Blue,4 Star,Positive
785471907654,Diya Bora,ndas@example.com,5712118601,46,Female,VILLAGE,10325.0,Primary or less,9,0.0,10,1.0,1,6.0,1,0,3,Currently Married,2,121,797.0,0,3,0,0,1,0,3,0,1,1,0,1,3.5,4681,Golden,5 Star,Positive
901847995634,Tara Chaudhry,manthantara@example.org,3993302559,46,Male,VILLAGE,2348.0,Primary or less,15,1.0,24,0.0,1,16.0,1,0,0,Never Married,3,281,209.0,0,1,2,0,0,0,1,0,0,1,0,3,3.9,0,Golden,5 Star,Positive
468853800731,Tanay Toor,craj@example.net,0623145968,25,Male,TIER-I,23213.0,Primary or less,1,0.0,2,0.6,0,1.0,0,0,2,Never Married,0,116,1439.0,0,0,1,0,1,2,1,0,0,2,1,0,4.0,0,Golden,5 Star,Positive
381854454441,Kevin Palla,wriddhishcherian@example.com,9619680450,53,Male,VILLAGE,9081.0,Primary or less,8,0.0,2,1.3,0,8.0,0,0,1,Currently Married,2,975,507.0,0,0,0,0,0,0,0,0,2,1,0,1,4.4,0,Blue,1 Star,Negative
290248298045,Yash Pingle,balasubramanianethan@example.org,2036081641,28,Male,TIER-III,7646.0,Tertiary or more,11,0.0,3,1.9,0,1.0,0,0,1,Never Married,0,555,594.0,0,0,0,0,2,0,0,1,0,0,0,0,3.0,0,Golden,5 Star,Positive
890727076852,Nakul Sarma,darshchacko@example.com,6081971408,40,Female,VILLAGE,9561.0,Primary or less,7,0.0,2,0.0,1,3.0,2,0,3,Never Married,0,763,282.0,0,0,0,1,3,1,3,0,0,1,1,0,4.3,1021,Golden,2 Star,Positive
673191451419,Abhiram Mistry,hbora@example.org,4495060958,63,Female,VILLAGE,8277.0,Secondary,15,1.0,3,2.2,0,5.0,1,0,2,Currently Married,0,503,1085.0,0,0,1,0,4,0,2,0,1,0,0,0,4.7,0,Golden,5 Star,Positive
216902311531,Krish Lalla,ayushman97@example.com,4566983985,51,Female,TIER-III,13468.0,Primary or less,10,0.0,7,5.4,0,2.0,0,0,2,Currently Married,1,120,1210.0,0,1,1,0,2,0,1,0,0,1,1,1,3.8,0,Red,5 Star,Positive
286472490323,Hredhaan Dugal,aradhanarau@example.com,2941429049,57,Male,VILLAGE,7539.0,Secondary,10,0.0,5,4.2,0,12.0,0,0,3,Never Married,2,918,870.0,0,0,0,0,3,0,0,0,0,1,0,2,3.9,0,Golden,5 Star,Positive
228347711421,Baghyawati Kade,egoel@example.org,2538476691,33,Male,VILLAGE,11506.0,Primary or less,10,3.0,7,3.2,0,5.0,0,0,2,Currently Married,0,156,680.0,0,1,0,0,2,0,1,0,0,1,0,1,3.3,0,Golden,4 Star,Negative
419220631167,Samar Lalla,yug21@example.com,1647286174,24,Female,VILLAGE,8957.0,Secondary,8,2.0,4,2.3,0,8.0,0,0,0,Never Married,0,93,0.0,0,0,0,0,0,1,1,0,0,0,0,1,3.7,0,Golden,4 Star,Positive
