Aadhar No.,Name,Age,Gender,City,E-mail,Phone No.,Occupation,Education,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Partner,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Betting Apps,TrueCaller Flag,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Reviews received,Pet Bills (per year),Accounts,Sentiment on Social Media,UPI Failures
187525138707,Vedika Balakrishnan,22.0,Female,VILLAGE,qnayar@example.net,02729806990,Agriculturalists (Farmers),Primary or less,4.15,1.0,2.0,2.0,Currently Married,1.0,2.0,3.0,4.0,4.0,6845.1,0.0,0.0,No,Red,0.0,9730.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,0.0,4 Star,35779.5,1.0,Strongly Negative,60.0
424493543665,Priya Deshmukh,56.0,Female,TIER-I,dgopal@example.com,05375564641,"Self-employed Professionals (Doctors, Lawyers, Chartered Accountants)",Primary or less,8.33,0.0,2.0,2.0,Never Married,1.0,3.0,0.0,1.0,3.0,13574.7,0.0,1.0,No,Golden,1.0,5853.0,1.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,4 Star,46661.1,0.0,Neutral,35.0
790757033266,Anirudh Zacharia,58.0,Male,VILLAGE,pallaudarsh@example.net,+910033092327,Agriculturalists (Farmers),Secondary,9.89,0.0,3.0,2.0,Currently Married,1.0,4.0,0.0,1.0,3.0,16745.2,1.0,0.0,No,Blue,0.0,15226.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4 Star,26323.5,1.0,Neutral,44.0
498837994177,Tejas Shroff,47.0,Female,VILLAGE,jyoti29@example.net,1241904966,Unemployed/Jobseekers,Primary or less,9.01,1.0,0.0,,Never Married,2.0,3.0,1.0,4.0,2.0,2990.2,1.0,0.0,Yes,Golden,1.0,3864.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,4 Star,21709.9,4.0,Strongly Positive,24.0
312933106111,Faqid Kibe,31.0,Male,TIER-I,mitrajai@example.net,+915865185067,Salaried/Employed (Private/Public Sector),Primary or less,16.08,1.0,0.0,2.0,Currently Married,2.0,3.0,2.0,3.0,3.0,17067.6,1.0,0.0,No,Blue,1.0,2821.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,5 Star,10224.4,3.0,Strongly Negative,41.0
176040557040,Rachita Pathak,24.0,Female,VILLAGE,bdua@example.org,8498776945,Salaried/Employed (Private/Public Sector),Primary or less,3.78,2.0,3.0,,Currently Married,3.0,3.0,1.0,1.0,2.0,17765.4,1.0,2.0,Yes,Golden,0.0,12317.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1 Star,28666.5,2.0,Positive,14.0
826046287257,Gabriel Mallick,43.0,Male,VILLAGE,wkohli@example.com,9650752735,Students,Primary or less,16.88,2.0,3.0,1.0,Currently Married,1.0,3.0,1.0,5.0,3.0,22871.1,0.0,0.0,No,Golden,1.0,6475.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0,0.0,3 Star,3972.8,2.0,Neutral,49.0
947087372942,Harini Mammen,35.0,Male,VILLAGE,advaith83@example.org,+916783777014,Laborers/Skilled Workers,Tertiary or more,7.79,1.0,1.0,2.0,Currently Married,0.0,3.0,2.0,2.0,,5972.3,1.0,0.0,Yes,Blue,1.0,11643.0,0.0,0.0,0.0,1.0,2.0,0.0,21.0,0.0,5 Star,90727.7,3.0,Strongly Negative,38.0
517045625552,Nidhi Kohli,25.0,Female,TIER-I,jyoti78@example.net,06855744431,Freelancers/Consultants,Secondary,5.13,1.0,1.0,1.0,Widowed,1.0,2.0,1.0,2.0,2.0,8969.0,1.0,1.0,No,Golden,1.0,7094.0,1.0,0.0,1.0,0.0,2.0,0.0,23.0,0.0,4 Star,25288.7,2.0,Neutral,51.0
599410093881,Diya Dar,37.0,Male,VILLAGE,rehaankalita@example.net,04989413435,Salaried/Employed (Private/Public Sector),Secondary,14.38,1.0,1.0,1.0,Currently Married,1.0,2.0,1.0,1.0,2.0,5573.9,1.0,1.0,No,Blue,0.0,6998.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,4 Star,,2.0,Neutral,33.0
277660601409,Chasmum Atwal,20.0,Female,VILLAGE,anushabath@example.org,4271094777,Laborers/Skilled Workers,Secondary,,1.0,2.0,1.0,Never Married,4.0,3.0,1.0,3.0,1.0,9706.2,0.0,1.0,No,Golden,1.0,5174.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,,4 Star,12613.5,4.0,Strongly Negative,33.0
488136971784,Qarin Behl,53.0,Female,VILLAGE,vanya11@example.com,01902294131,Homemakers,Primary or less,6.59,0.0,2.0,1.0,Never Married,1.0,3.0,1.0,2.0,3.0,,1.0,0.0,Yes,Golden,0.0,9181.0,1.0,1.0,1.0,0.0,4.0,1.0,9.0,0.0,4 Star,37773.9,3.0,Negative,43.0
835339233454,Upkaar Virk,30.0,Male,VILLAGE,cseshadri@example.com,6499091334,Homemakers,Primary or less,5.07,2.0,1.0,2.0,Never Married,4.0,2.0,3.0,1.0,3.0,11239.2,0.0,0.0,Yes,Blue,1.0,4973.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4 Star,52848.5,1.0,Positive,52.0
869945806981,Naksh Khatri,42.0,Male,VILLAGE,falandugar@example.org,07974034471,Students,Secondary,5.72,2.0,1.0,2.0,Never Married,1.0,2.0,2.0,2.0,3.0,8333.8,0.0,0.0,No,Blue,1.0,18239.0,1.0,1.0,1.0,1.0,2.0,1.0,22.0,0.0,5 Star,44840.7,3.0,Strongly Negative,21.0
851347210313,Aishani Hora,32.0,Female,TIER-I,icontractor@example.org,2421024994,Agriculturalists (Farmers),Tertiary or more,16.19,2.0,1.0,2.0,Currently Married,2.0,1.0,1.0,1.0,2.0,13875.7,0.0,1.0,No,Blue,1.0,7330.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4 Star,61078.3,4.0,Strongly Negative,29.0
180092702123,Jeet Sidhu,38.0,Male,TIER-I,neha48@example.net,07190659401,"Government Employees (Civil Services, Defense, Police)",Primary or less,6.13,2.0,0.0,,Currently Married,2.0,2.0,0.0,5.0,4.0,11839.3,0.0,1.0,Yes,Blue,1.0,15464.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,5 Star,48650.2,3.0,Positive,7.0
798400899699,Ansh Luthra,39.0,Female,VILLAGE,gillupma@example.net,7429671756,Salaried/Employed (Private/Public Sector),Primary or less,16.08,2.0,0.0,1.0,Widowed,3.0,3.0,1.0,1.0,3.0,3034.2,0.0,1.0,No,Golden,1.0,11566.0,0.0,0.0,1.0,1.0,3.0,0.0,40.0,0.0,4 Star,34236.5,5.0,Negative,30.0
684850587137,Ekani Cheema,27.0,Male,VILLAGE,forumsabharwal@example.net,04680715451,"Government Employees (Civil Services, Defense, Police)",Secondary,6.41,3.0,1.0,2.0,Currently Married,1.0,4.0,0.0,,3.0,17376.5,0.0,1.0,No,Golden,1.0,10143.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,5 Star,5091.1,2.0,Neutral,4.0
369419548116,Yoshita Agarwal,58.0,Female,VILLAGE,dsachdev@example.org,5977034824,Students,Primary or less,5.29,3.0,0.0,1.0,Divorced,3.0,5.0,1.0,5.0,3.0,15121.1,1.0,1.0,No,Blue,0.0,13378.0,1.0,0.0,1.0,1.0,1.0,1.0,29.0,0.0,5 Star,18111.8,2.0,Negative,41.0
607507949295,Vedhika Dara,46.0,Female,VILLAGE,khatrinathan@example.com,0861317127,Students,Primary or less,4.66,1.0,1.0,1.0,Currently Married,3.0,4.0,3.0,1.0,3.0,14436.3,0.0,1.0,No,Blue,1.0,14349.0,1.0,1.0,0.0,0.0,1.0,0.0,27.0,0.0,1 Star,46482.5,1.0,Positive,28.0
397982492151,Yashodhara Mahajan,55.0,Female,VILLAGE,esubramanian@example.org,08263982146,Salaried/Employed (Private/Public Sector),Primary or less,7.25,1.0,0.0,1.0,Currently Married,2.0,5.0,0.0,2.0,3.0,9650.8,1.0,0.0,No,Blue,1.0,9486.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5 Star,15892.2,1.0,Negative,10.0
858663022120,Yashica Loke,52.0,Female,VILLAGE,mandalchanchal@example.net,7278755886,Homemakers,Primary or less,5.35,0.0,2.0,2.0,Currently Married,2.0,1.0,1.0,5.0,2.0,8611.3,1.0,0.0,No,Blue,,12841.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,5 Star,5683.9,3.0,Negative,44.0
342910249529,Ekanta Gulati,40.0,Female,VILLAGE,leelakaur@example.com,+915766270289,Agriculturalists (Farmers),Primary or less,10.14,3.0,2.0,2.0,Currently Married,1.0,2.0,0.0,1.0,3.0,9979.3,1.0,0.0,Yes,Blue,1.0,4925.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0,5 Star,66580.7,3.0,Negative,29.0
459422681391,Harish Sarraf,54.0,Male,VILLAGE,voratanmayi@example.org,2621745961,Business Owners/Entrepreneurs,Primary or less,5.39,1.0,2.0,1.0,Currently Married,4.0,2.0,1.0,1.0,3.0,18212.0,1.0,1.0,No,Golden,0.0,20901.0,1.0,0.0,2.0,1.0,1.0,0.0,12.0,0.0,5 Star,61270.0,2.0,Negative,42.0
945433611429,Lajita Nadig,23.0,Female,TIER-I,nbanik@example.org,+914316117240,Homemakers,Primary or less,11.96,0.0,2.0,2.0,Never Married,3.0,2.0,1.0,3.0,3.0,12523.8,0.0,1.0,No,Red,0.0,8802.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,5 Star,5272.7,4.0,Neutral,26.0
163462436409,Ekta Bhalla,28.0,Female,VILLAGE,jagrati56@example.org,+918692221969,Homemakers,Primary or less,11.94,1.0,2.0,2.0,Never Married,1.0,1.0,2.0,3.0,3.0,2785.9,0.0,1.0,Yes,Blue,1.0,6779.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,5 Star,5987.2,2.0,Negative,22.0
984901132451,Widisha Dhar,21.0,Female,VILLAGE,triyakumar@example.com,00748217594,Retired/Pensioners,Primary or less,5.92,2.0,0.0,1.0,Never Married,5.0,4.0,2.0,2.0,3.0,10534.3,1.0,0.0,Yes,Golden,1.0,14436.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4 Star,25463.0,4.0,Negative,47.0
539441524732,Zashil Shan,32.0,Male,VILLAGE,rushil67@example.org,+916959440640,Agriculturalists (Farmers),Secondary,10.81,2.0,0.0,1.0,Currently Married,3.0,1.0,2.0,3.0,4.0,4378.3,1.0,0.0,Yes,Red,0.0,13303.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,5 Star,43046.8,4.0,Neutral,5.0
169869415070,Watika Mangat,34.0,Male,TIER-I,indirakanda@example.net,+919421047095,Students,Primary or less,12.34,1.0,3.0,2.0,Never Married,1.0,2.0,2.0,3.0,2.0,9785.1,1.0,2.0,No,Blue,1.0,8754.0,2.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,5 Star,8054.1,1.0,Strongly Negative,39.0
726820024292,Gautam Merchant,30.0,Female,VILLAGE,ojasvi23@example.org,5884247451,Agriculturalists (Farmers),Secondary,9.01,1.0,1.0,1.0,Currently Married,1.0,1.0,1.0,1.0,2.0,8794.3,1.0,1.0,No,Blue,1.0,9039.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2 Star,15772.1,2.0,Positive,34.0
889742985454,Faqid Dhaliwal,48.0,Female,VILLAGE,mekhalapau@example.org,00481754965,,Secondary,6.79,2.0,0.0,1.0,Never Married,1.0,2.0,1.0,1.0,2.0,11016.5,1.0,1.0,No,Golden,1.0,9365.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3 Star,59250.3,2.0,Strongly Negative,17.0
333279765207,Vivaan Sinha,33.0,Male,VILLAGE,narangtimothy@example.net,+917461200471,Homemakers,Primary or less,7.53,1.0,1.0,2.0,Never Married,1.0,2.0,0.0,5.0,2.0,6194.4,1.0,2.0,Yes,Blue,1.0,11434.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,5 Star,65389.2,2.0,Neutral,26.0
648275934229,Wahab Yogi,31.0,Female,VILLAGE,lipikasetty@example.com,8692617964,Salaried/Employed (Private/Public Sector),Primary or less,11.24,0.0,2.0,2.0,Never Married,1.0,3.0,2.0,2.0,2.0,5425.8,0.0,1.0,No,Blue,1.0,8278.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4 Star,17428.0,3.0,Strongly Negative,17.0
808302588517,Kamala Kalla,38.0,Female,TIER-I,psaxena@example.com,+915850643171,Salaried/Employed (Private/Public Sector),Tertiary or more,6.01,2.0,1.0,2.0,Widowed,4.0,4.0,3.0,3.0,3.0,13835.6,1.0,0.0,No,Blue,2.0,11254.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,4 Star,105431.2,3.0,Negative,
256589576361,Ansh Bedi,26.0,Female,VILLAGE,yagnesh29@example.org,+918393352904,Salaried/Employed (Private/Public Sector),Primary or less,6.45,2.0,1.0,1.0,Currently Married,3.0,1.0,1.0,0.0,3.0,15900.4,1.0,1.0,No,Blue,1.0,12990.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,4 Star,54178.8,1.0,Negative,33.0
251461507038,Kalpit Zachariah,47.0,Male,VILLAGE,owen10@example.org,+915395024026,Students,Primary or less,4.34,0.0,2.0,1.0,Never Married,1.0,1.0,3.0,2.0,3.0,5580.3,1.0,1.0,No,Golden,1.0,14730.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,5 Star,23251.4,2.0,Negative,35.0
917103043320,Devansh Soni,23.0,Female,VILLAGE,gpathak@example.net,+917839084700,Freelancers/Consultants,Primary or less,7.12,0.0,3.0,0.0,Never Married,5.0,2.0,2.0,2.0,3.0,6812.1,1.0,1.0,Yes,Golden,0.0,4029.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,4 Star,70215.0,2.0,Neutral,8.0
690821577339,Neelima Sandhu,61.0,Female,TIER-II,swaminathansachi@example.org,+915921249985,Salaried/Employed (Private/Public Sector),Primary or less,3.04,0.0,0.0,0.0,Currently Married,0.0,1.0,2.0,1.0,2.0,494.2,0.0,1.0,No,Blue,1.0,15337.0,0.0,0.0,1.0,1.0,1.0,1.0,42.0,0.0,4 Star,64578.3,1.0,Strongly Negative,31.0
921467220156,Chaitaly Setty,46.0,Male,VILLAGE,ychaudhary@example.net,+918367365766,Students,Secondary,6.31,2.0,1.0,2.0,Currently Married,3.0,1.0,2.0,2.0,1.0,11334.6,1.0,1.0,No,Red,2.0,13857.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,5 Star,41536.8,3.0,Strongly Negative,40.0
570662212985,Dhriti Sane,28.0,Male,VILLAGE,aadhya52@example.net,01111615280,Students,Primary or less,6.86,1.0,4.0,3.0,Currently Married,3.0,3.0,3.0,2.0,3.0,18326.3,0.0,1.0,Yes,Golden,1.0,8637.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,4 Star,28961.0,1.0,Strongly Negative,17.0
