Aadhar No.,Name,Age,Phone No.,Education,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Reviews received,Pet Bills (per year),Accounts,UPI Failures,Gender_Female,Gender_Male,City_TIER-I,City_TIER-II,City_TIER-III,City_VILLAGE,Occupation_Agriculturalists (Farmers),Occupation_Business Owners/Entrepreneurs,Occupation_Freelancers/Consultants,"Occupation_Government Employees (Civil Services, Defense, Police)",Occupation_Homemakers,Occupation_Laborers/Skilled Workers,Occupation_Retired/Pensioners,Occupation_Salaried/Employed (Private/Public Sector),"Occupation_Self-employed Professionals (Doctors, Lawyers, Chartered Accountants)",Occupation_Students,Occupation_Unemployed/Jobseekers,Partner_Currently Married,Partner_Divorced,Partner_Never Married,Partner_Widowed,Betting Apps_No,Betting Apps_Yes,TrueCaller Flag_Blue,TrueCaller Flag_Golden,TrueCaller Flag_Red,Sentiment on Social Media_Negative,Sentiment on Social Media_Neutral,Sentiment on Social Media_Positive,Sentiment on Social Media_Strongly Negative,Sentiment on Social Media_Strongly Positive
354342113419,Chanchal Tripathi,20.0,3252880957,0,11.17,0.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,631.2,0.0,1.0,1.0,7716.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,1,14167.6,2.0,27.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
763595448017,Isaac Patil,59.0,03039117182,2,4.03,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,7627.1,1.0,0.0,0.0,12990.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,4,19891.8,0.0,13.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
714294294451,Vaishnavi Gandhi,49.0,08963834657,0,6.8,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,15314.0,1.0,1.0,0.0,8035.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,88496.1,3.0,25.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
886833016361,Jai Kota,28.0,+911509839301,0,8.53,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,11450.8,1.0,1.0,1.0,9047.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,3,2742.5,1.0,63.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
871590378377,Veer Bir,27.0,+915183473829,0,7.67,2.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,8905.8,1.0,1.0,0.0,10495.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,0.0,3,45260.0,4.0,50.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
561902006518,Xavier Solanki,27.0,03116566701,0,7.11,2.0,2.0,2.0,1.0,4.0,2.0,5.0,2.0,15830.2,0.0,1.0,1.0,5667.0,1.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,2,14781.0,4.0,20.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
590573056992,Neha Nori,31.0,+913338726247,0,10.39,2.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,7896.5,0.0,2.0,1.0,13407.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3,10628.6,4.0,31.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
407473554860,Faqid Savant,38.0,1080132677,0,2.27,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,9220.4,1.0,1.0,0.0,4537.0,0.0,0.0,0.0,1.0,2.0,1.0,20.0,0.0,3,97327.9,4.0,26.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
933251567391,Nandini Bhargava,35.0,+916064746872,0,7.83,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,7795.0,1.0,1.0,1.0,14936.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,3,51587.5,3.0,26.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
275259659197,Chaman Kalla,31.0,+919805009788,0,5.66,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,6974.1,1.0,1.0,1.0,8906.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3,22546.4,0.0,27.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
566854953850,Dakshesh Trivedi,41.0,+912191361939,2,3.0,0.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,192.9,1.0,2.0,1.0,8465.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,4,37179.3,1.0,32.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
406404042870,Finn Saini,26.0,9985435346,0,7.77,0.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,13322.7,0.0,1.0,1.0,11849.0,0.0,0.0,1.0,1.0,1.0,1.0,28.0,0.0,2,60751.6,2.0,32.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
336890980656,Charita Shankar,31.0,01079911838,0,4.49,2.0,2.0,2.0,2.0,3.0,0.0,1.0,4.0,9196.349999999999,0.0,1.0,1.0,17581.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1,10843.6,2.0,16.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
941629821539,Kevin Palla,33.0,+913542784980,0,5.61,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,4570.8,0.0,1.0,1.0,10639.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,0,12711.5,2.0,21.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
213114812281,Hemang Desai,36.0,01182449353,0,8.18,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,4702.9,2.0,0.0,1.0,8964.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,4,14821.1,3.0,33.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
517010168081,Yashasvi Suresh,47.0,00164005242,0,15.79,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6661.1,0.0,1.0,1.0,16882.0,0.0,1.0,0.0,1.0,3.0,0.0,10.0,0.0,1,62331.6,1.0,42.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
491257417623,Prisha Andra,28.0,+911280598262,0,10.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,14732.2,0.0,1.0,1.0,15655.0,0.0,1.0,1.0,2.0,3.0,0.0,20.0,0.0,3,27515.1,3.0,9.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
481597082643,Darika Patla,38.0,+915331586923,2,5.86,1.0,3.0,1.0,4.0,2.0,2.0,6.0,1.0,12539.4,1.0,1.0,1.0,22220.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,3,16522.7,4.0,20.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
390355792387,Peter Sachar,40.0,+912563421607,1,6.95,1.0,1.0,1.0,7.0,3.0,0.0,2.0,4.0,4334.6,1.0,1.0,1.0,4523.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,3,32412.4,1.0,29.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
150711229823,Ryan Sharma,21.0,04330365414,0,7.19,1.0,1.0,2.0,5.0,3.0,1.0,4.0,2.0,16741.9,1.0,1.0,1.0,14994.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,0.0,3,55539.4,1.0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
605645347792,Yashodhara Ratta,40.0,8501429401,0,4.23,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,12023.6,1.0,1.0,0.0,17959.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,4,62841.2,4.0,15.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
235447068293,Hemani Murthy,27.0,09816934060,2,4.33,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,9397.4,1.0,0.0,2.0,9871.0,1.0,0.0,1.0,0.0,2.0,1.0,18.0,0.0,4,31648.4,3.0,14.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
187525138707,Januja Sankar,22.0,+915951484656,0,4.15,1.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,6845.1,0.0,0.0,0.0,9730.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,0.0,3,35779.5,1.0,60.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
424493543665,Joshua Handa,56.0,06299468044,0,8.33,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,13574.7,0.0,1.0,1.0,5853.0,1.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,3,46661.1,0.0,35.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
790757033266,Qushi Nagy,58.0,07738721489,1,9.89,0.0,3.0,2.0,1.0,4.0,0.0,1.0,3.0,16745.2,1.0,0.0,0.0,15226.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,3,26323.5,1.0,44.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
498837994177,Girik Keer,47.0,4332003791,0,9.01,1.0,0.0,1.0,2.0,3.0,1.0,4.0,2.0,2990.2,1.0,0.0,1.0,3864.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,3,21709.9,4.0,24.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
312933106111,Oeshi Hayer,31.0,6763201632,0,16.08,1.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,17067.6,1.0,0.0,1.0,2821.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,4,10224.4,3.0,41.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
176040557040,Chandresh Krish,24.0,+917278895798,0,3.78,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,17765.4,1.0,2.0,0.0,12317.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0,28666.5,2.0,14.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
826046287257,Sanaya Dutt,43.0,7743487347,0,16.88,2.0,3.0,1.0,1.0,3.0,1.0,5.0,3.0,22871.1,0.0,0.0,1.0,6475.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0,0.0,2,3972.8,2.0,49.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
947087372942,Bhavika Keer,35.0,05581223623,2,7.79,1.0,1.0,2.0,0.0,3.0,2.0,2.0,3.0,5972.3,1.0,0.0,1.0,11643.0,0.0,0.0,0.0,1.0,2.0,0.0,21.0,0.0,4,90727.7,3.0,38.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
517045625552,Oeshi Reddy,25.0,08760366909,1,5.13,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,8969.0,1.0,1.0,1.0,7094.0,1.0,0.0,1.0,0.0,2.0,0.0,23.0,0.0,3,25288.7,2.0,51.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
599410093881,Vansha Ahuja,37.0,04668893734,1,14.38,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5573.9,1.0,1.0,0.0,6998.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,3,33254.1,2.0,33.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
277660601409,Vedika Balakrishnan,20.0,05627298069,1,8.16,1.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,9706.2,0.0,1.0,1.0,5174.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,3,12613.5,4.0,33.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
488136971784,Fiyaz Sangha,53.0,+917204653755,0,6.59,0.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,9196.349999999999,1.0,0.0,0.0,9181.0,1.0,1.0,1.0,0.0,4.0,1.0,9.0,0.0,3,37773.9,3.0,43.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
835339233454,Arunima Sama,30.0,01708053100,0,5.07,2.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,11239.2,0.0,0.0,1.0,4973.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3,52848.5,1.0,52.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
869945806981,Ryan Bahri,42.0,2327193745,1,5.72,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,8333.8,0.0,0.0,1.0,18239.0,1.0,1.0,1.0,1.0,2.0,1.0,22.0,0.0,4,44840.7,3.0,21.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
851347210313,Ishwar Gade,32.0,01904966319,2,16.19,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,13875.7,0.0,1.0,1.0,7330.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3,61078.3,4.0,29.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
180092702123,Harsh Mitra,38.0,9190586518,0,6.13,2.0,0.0,1.0,2.0,2.0,0.0,5.0,4.0,11839.3,0.0,1.0,1.0,15464.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,4,48650.2,3.0,7.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
798400899699,Advik Salvi,39.0,01657262849,0,16.08,2.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,3034.2,0.0,1.0,1.0,11566.0,0.0,0.0,1.0,1.0,3.0,0.0,40.0,0.0,3,34236.5,5.0,30.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
684850587137,Udyati Sarin,27.0,9453147379,1,6.41,3.0,1.0,2.0,1.0,4.0,0.0,2.0,3.0,17376.5,0.0,1.0,1.0,10143.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,4,5091.1,2.0,4.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
369419548116,Gayathri Balakrishnan,58.0,05273545494,0,5.29,3.0,0.0,1.0,3.0,5.0,1.0,5.0,3.0,15121.1,1.0,1.0,0.0,13378.0,1.0,0.0,1.0,1.0,1.0,1.0,29.0,0.0,4,18111.8,2.0,41.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
607507949295,Zansi Halder,46.0,+913678377701,0,4.66,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,14436.3,0.0,1.0,1.0,14349.0,1.0,1.0,0.0,0.0,1.0,0.0,27.0,0.0,0,46482.5,1.0,28.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
397982492151,Timothy Ravel,55.0,3495788568,0,7.25,1.0,0.0,1.0,2.0,5.0,0.0,2.0,3.0,9650.8,1.0,0.0,1.0,9486.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4,15892.2,1.0,10.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
858663022120,Indira Setty,52.0,04431351823,0,5.35,0.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,8611.3,1.0,0.0,1.0,12841.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,4,5683.9,3.0,44.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
342910249529,Veda Malhotra,40.0,9894134352,0,10.14,3.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,9979.3,1.0,0.0,1.0,4925.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0,4,66580.7,3.0,29.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
459422681391,Akshay Walla,54.0,+914008427109,0,5.39,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,18212.0,1.0,1.0,0.0,20901.0,1.0,0.0,2.0,1.0,1.0,0.0,12.0,0.0,4,61270.0,2.0,42.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
945433611429,Upasna Srinivas,23.0,05204711671,0,11.96,0.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,12523.8,0.0,1.0,0.0,8802.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,4,5272.7,4.0,26.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
163462436409,Max Dixit,28.0,4131869993,0,11.94,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2785.9,0.0,1.0,1.0,6779.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,4,5987.2,2.0,22.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
984901132451,Shravya Savant,21.0,09649909133,0,5.92,2.0,0.0,1.0,5.0,4.0,2.0,2.0,3.0,10534.3,1.0,0.0,1.0,14436.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,25463.0,4.0,47.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
539441524732,Finn Dugar,32.0,+912812067974,1,10.81,2.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0,4378.3,1.0,0.0,0.0,13303.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,4,43046.8,4.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
169869415070,Vincent Mani,34.0,4713493618,0,12.34,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,9785.1,1.0,2.0,1.0,8754.0,2.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,4,8054.1,1.0,39.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
726820024292,Manthan Lata,30.0,+911024994717,1,9.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8794.3,1.0,1.0,1.0,9039.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1,15772.1,2.0,34.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
889742985454,Neha Magar,48.0,8771906594,1,6.79,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,11016.5,1.0,1.0,1.0,9365.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2,59250.3,2.0,17.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
333279765207,Gavin Karnik,33.0,9904902787,0,7.53,1.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,6194.4,1.0,2.0,1.0,11434.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,4,65389.2,2.0,26.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
648275934229,Pratyush Sarin,31.0,7175655125,0,11.24,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5425.8,0.0,1.0,1.0,8278.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3,17428.0,3.0,17.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
