name,city,tier,is_pet_owner,pet_type,monthly_pet_expense,vet_visits_last_year,pet_medical_expense,annual_pet_spend,has_pet_insurance
Brent Jordan,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
John Daniel,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Victoria Garcia,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Gerald Hensley,Ahmedabad,Tier 2,1,Dog,1646.15,1,1736.77,21490.57,0
Connor West,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Donald Wright,Indore,Tier 2,1,Rabbit,1161.51,2,3571.97,17510.09,1
Jessica Callahan,Bangalore,Tier 1,1,Bird,2524.78,3,5090.48,35387.84,1
Amber Kidd,Chennai,Tier 1,1,Dog,2749.19,1,2375.25,35365.53,0
Tracy House,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Carol Tucker,Chennai,Tier 1,1,Cat,3141.55,1,1353.18,39051.78,1
James Brown,Ahmedabad,Tier 2,1,Cat,1396.83,2,4324.41,21086.37,1
William Baker,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Jordan Henderson,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Whitney Peters,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Brittney Phillips,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Lauren Daniels,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Amy Silva,Indore,Tier 2,1,Dog,1713.33,1,966.46,21526.42,1
Sarah Moore,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Angela Lopez,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Megan Young,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Steve Sanchez,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Lisa Barnes,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Kelly Donovan,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Mike Allen,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Michael Evans,Delhi,Tier 1,1,Rabbit,3233.09,1,1255.31,40052.39,1
Paul Jones,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Zachary Ferrell,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Daniel Baker,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Shirley Suarez,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Christopher Bass,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Lisa Archer,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Aimee Montoya,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Matthew Mcmillan,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Brian Rodriguez,Hyderabad,Tier 1,1,Dog,2335.92,2,2231.44,30262.48,0
Denise Jacobs,Bangalore,Tier 1,1,Dog,3246.45,1,1500.61,40458.01,0
Christina Walters,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
John Whitehead,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Anna Henderson,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Aaron Wise,Bangalore,Tier 1,1,Bird,1806.61,1,1857.09,23536.41,1
Deborah Figueroa,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Jessica Smith,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Stephen Mckee,Pune,Tier 2,1,Dog,1660.79,1,2004.57,21934.05,0
Sandra Aguilar,Hyderabad,Tier 1,1,Dog,2998.48,1,826.51,36808.27,1
Cameron Parker,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Rebecca Valencia,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Christine Wright,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Richard Henson,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Marc Moore,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Sharon Cherry,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Sierra Johnson,Indore,Tier 2,1,Cat,1305.74,1,1701.3,17370.18,1
Evelyn Galvan,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Sharon Cochran,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Richard Rodriguez,Patna,Tier 3,1,Dog,1030.26,1,1483.16,13846.28,0
Shannon Walker,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Julia Torres,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Crystal Johnson,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Garrett Lin,Hyderabad,Tier 1,1,Cat,3262.77,1,2623.68,41776.92,0
Diana May,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
William Herrera,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Ashley Waller,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Victor Baker,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Jeffrey Chandler,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Larry Dixon,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Kenneth Scott,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
April Frost,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Michelle Harmon,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Helen Jones,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Erin Edwards,Delhi,Tier 1,1,Cat,2939.01,1,1398.36,36666.48,0
Michelle Evans,Hyderabad,Tier 1,1,Dog,1793.31,2,4382.83,25902.55,0
Jason Powell,Hyderabad,Tier 1,1,Dog,2986.01,2,3064.15,38896.27,0
Cameron Fisher,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Megan Orr,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Elizabeth Kelley,Hyderabad,Tier 1,1,Cat,2332.92,2,2034.75,30029.79,1
Dustin Jordan,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Mary Marshall,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Daniel Kennedy,Delhi,Tier 1,1,Dog,3194.69,0,0.0,38336.28,0
Rebecca Jackson,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Jose Schultz,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Robert Potter,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Courtney Gonzalez,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
David Alvarez,Ranchi,Tier 3,1,Cat,865.94,1,2043.32,12434.6,1
Angel Perry,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Cheyenne Horton,Jaipur,Tier 2,1,Cat,1207.63,1,2226.07,16717.63,0
David Douglas Jr.,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Patricia Rodriguez,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Christopher Rubio,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Amber Wright,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Joyce Solis,Delhi,Tier 1,1,Dog,2991.39,2,2685.91,38582.59,1
Victoria Larson,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Stephanie Salazar,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Kathy Rivas,Hyderabad,Tier 1,1,Cat,2340.09,3,5746.66,33827.74,0
Stephanie Manning,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
David Wright,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Pamela Boyd,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Denise Jones,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Devon Flores,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Brenda Hall,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Michelle Brown,Chennai,Tier 1,1,Dog,2694.84,1,2519.49,34857.57,0
Joshua Perry,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Jason Stein,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Melissa Gates,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Jamie Smith,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Paul Castaneda,Bangalore,Tier 1,1,Rabbit,2732.08,1,2990.04,35775.0,0
Jennifer Adkins,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Lindsey Walker,Mumbai,Tier 1,1,Dog,3123.73,2,5064.71,42549.47,1
Jeffrey Johnson,Chennai,Tier 1,1,Dog,2080.36,2,4076.77,29041.09,0
Michael Powell,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
John Anderson,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Alyssa Long,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Alyssa Day,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Joel Williams,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Daniel Murphy,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Jamie Walton,Mumbai,Tier 1,1,Dog,2099.7,1,2876.41,28072.81,0
Darlene Miller,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Joshua Cooke,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Matthew Harrington,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Nicole Herring,Bangalore,Tier 1,1,Dog,2358.44,0,0.0,28301.28,0
Alex Hernandez,Guwahati,Tier 3,1,Dog,1197.75,1,1692.09,16065.09,0
Michael Elliott,Patna,Tier 3,1,Dog,1153.55,1,856.25,14698.85,1
Michael Wang,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Lawrence Adkins,Jaipur,Tier 2,1,Cat,1393.44,2,5542.0,22263.28,1
Robert Oconnell,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Alexander Collins,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Tina Sanders,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Angela Vaughn,Mumbai,Tier 1,1,Dog,3343.54,0,0.0,40122.48,0
Ashley Barton,Delhi,Tier 1,1,Cat,2905.67,2,2436.8,37304.84,0
Lindsay Martinez,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Dr. Hannah Patterson,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Jonathan Peterson,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Samantha Garcia,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Madison Poole,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Jessica Gross,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Debra Morton,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Karen Graham,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Debra Christian,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Angelica Keith,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
John Bishop,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Allen Rosales,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Daniel Salinas,Jaipur,Tier 2,1,Dog,1210.25,1,2204.47,16727.47,0
Spencer Haynes,Hyderabad,Tier 1,1,Dog,1839.29,1,2472.11,24543.59,0
Adam Vaughan,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Nathan Freeman,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Melissa Brewer,Kanpur,Tier 3,1,Dog,808.33,1,1268.7,10968.66,0
Ricky Davis II,Ahmedabad,Tier 2,1,Cat,1545.99,1,1252.06,19803.94,0
Elizabeth Perkins,Lucknow,Tier 2,1,Cat,978.71,2,3705.77,15450.29,0
Joseph Coleman,Lucknow,Tier 2,1,Cat,983.84,3,7773.53,19579.61,0
Erin Warner,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
David Martinez,Mumbai,Tier 1,1,Dog,2675.85,3,5327.05,37437.25,0
Bryan Herrera,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Cathy Robinson,Indore,Tier 2,1,Cat,1411.6,0,0.0,16939.2,1
Dr. William Warren,Delhi,Tier 1,1,Dog,1704.39,1,1637.95,22090.63,0
Brian Lee,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Christopher Smith,Jaipur,Tier 2,1,Cat,1326.8,1,1200.11,17121.71,0
Denise Mccann,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Melissa Martinez,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Katherine Salas,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Julie Alexander,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Anthony Everett,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Rodney Morales,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Mark Brown,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Justin Torres,Jaipur,Tier 2,1,Dog,932.8,1,1368.01,12561.61,0
Bailey Duran DDS,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Courtney Mills,Mumbai,Tier 1,1,Cat,1576.62,2,2089.11,21008.55,1
Jeremy Dalton,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Elizabeth Oliver DDS,Ahmedabad,Tier 2,1,Dog,1600.15,1,2087.47,21289.27,0
Theresa Clark,Mumbai,Tier 1,1,Dog,2640.94,0,0.0,31691.28,0
Matthew Moore,Mumbai,Tier 1,1,Dog,2552.89,0,0.0,30634.68,1
Benjamin Smith,Lucknow,Tier 2,1,Dog,1981.3,1,1487.9,25263.5,0
Kirk Carter,Chennai,Tier 1,1,Bird,2214.82,1,2240.59,28818.43,0
Michael Warner,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Michael Bradshaw,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Lori Guerrero,Chennai,Tier 1,1,Dog,2086.76,0,0.0,25041.12,0
Jessica Stephens,Bangalore,Tier 1,1,Dog,3124.21,1,1493.41,38983.93,0
Susan Serrano,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Christopher Parker,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Laura Roberts,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Michael Lyons,Chennai,Tier 1,1,Rabbit,3115.31,1,2431.47,39815.19,1
Kathryn Snyder,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Andrew Reynolds,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
David Davis,Ranchi,Tier 3,1,Dog,651.72,1,1475.96,9296.6,0
Sara Johnston,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Yvonne Chambers,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Andrew Avila,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Matthew Moon,Chennai,Tier 1,1,Dog,2970.53,0,0.0,35646.36,1
Kevin Walters,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Brandon Bailey MD,Ranchi,Tier 3,1,Cat,1097.29,1,806.01,13973.49,0
Shannon Rivera,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Donna Landry,Ahmedabad,Tier 2,1,Dog,1295.31,1,918.82,16462.54,1
Krista Gibson,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Frank Cordova,Delhi,Tier 1,1,Bird,3330.4,2,1923.66,41888.46,1
Jose Travis,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Kimberly Gutierrez,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Isaiah Avila,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Olivia Harris,Ahmedabad,Tier 2,1,Cat,1681.32,2,1885.45,22061.29,0
Tanya Kim,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Barbara Dudley,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Cynthia Moore,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Kristen Davis,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Susan Murray MD,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Kathleen Moran,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Denise Davenport,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Mrs. Kristen Reyes,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Katie Suarez,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Desiree Tyler,Chennai,Tier 1,1,Dog,1698.89,3,2614.49,23001.17,0
Timothy Romero,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Diane Evans,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Yvonne Burns,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Joshua Reed,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Kimberly Gibson,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Colin Terry,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Cynthia Rowe,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Patrick Thornton,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Jasmin Alvarado,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Veronica Simpson,Ranchi,Tier 3,1,Bird,840.63,2,3956.41,14043.97,0
Jonathan Lawrence,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Shelly Alexander,Indore,Tier 2,1,Rabbit,1301.6,1,890.34,16509.54,0
Joyce Bowen,Mumbai,Tier 1,1,Rabbit,3414.31,1,1414.04,42385.76,0
Matthew Moore,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Wayne Morgan,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Marie Christian,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Shannon James,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Nathan Malone,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Amanda Jones,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Tammie Bright,Bangalore,Tier 1,1,Dog,3087.66,1,981.1,38033.02,1
Jessica Garcia,Jaipur,Tier 2,1,Dog,1787.97,0,0.0,21455.64,0
Shelia Wallace,Ahmedabad,Tier 2,1,Dog,1487.17,1,2268.65,20114.69,1
Stephanie Williams,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Elaine Brooks,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Joseph Knight,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Carolyn Miller,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Lisa Allen,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Briana Murray,Chennai,Tier 1,1,Dog,2498.02,1,1307.73,31283.97,1
David Smith,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Stephanie Byrd,Delhi,Tier 1,1,Dog,2749.98,2,3414.45,36414.21,0
Jeremy Reed,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Margaret Coleman,Jaipur,Tier 2,1,Cat,1794.76,3,2419.14,23956.26,0
Ryan Gonzalez,Jaipur,Tier 2,1,Cat,1012.73,0,0.0,12152.76,0
John Young,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Laura Haney,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
William Barrett,Delhi,Tier 1,1,Dog,2335.29,1,2814.32,30837.8,1
Keith Jennings,Jaipur,Tier 2,1,Dog,1357.99,2,2789.67,19085.55,0
Amber Obrien,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Tanner Mitchell DDS,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Heather Fields,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Megan Le,Mumbai,Tier 1,1,Dog,3292.88,0,0.0,39514.56,0
Sara Fuller,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Maria Parker,Ahmedabad,Tier 2,1,Dog,1418.08,2,2317.39,19334.35,1
Kevin Oconnor,Ranchi,Tier 3,1,Cat,616.36,2,2494.48,9890.8,0
Edward Burgess,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Carlos Ryan,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Kiara Mcintyre,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Dawn Summers,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Dr. Paul Morgan,Chennai,Tier 1,1,Dog,2673.96,1,868.07,32955.59,0
Victor Taylor,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Shannon Ramsey,Lucknow,Tier 2,1,Cat,1172.02,2,3354.97,17419.21,1
Tracy Ballard,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Richard Smith,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Jordan Chambers,Mumbai,Tier 1,1,Dog,3209.89,0,0.0,38518.68,0
Lauren Carson,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Ashley Hall,Mumbai,Tier 1,1,Bird,1644.24,0,0.0,19730.88,0
Stephen Hoffman,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Connie Brown,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Susan Turner,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Charles Shah,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Johnathan Davis,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Brandy Chavez,Mumbai,Tier 1,1,Dog,2676.18,1,1157.52,33271.68,1
Natalie Bautista,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Patrick Moore,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Brett Burns,Chennai,Tier 1,1,Dog,3343.01,1,1869.05,41985.17,0
Trevor Johnson,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Jeremy Sampson,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Ariana Jennings,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Vanessa Howard,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Colton Martinez,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Jordan Bates,Ahmedabad,Tier 2,1,Dog,1680.73,2,2193.02,22361.78,0
Linda Smith,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Dana Martinez,Bangalore,Tier 1,1,Rabbit,1606.47,2,4784.8,24062.44,1
Andrea Hubbard,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Daniel Kane,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Charles Lester,Delhi,Tier 1,1,Dog,1550.56,2,5301.74,23908.46,0
Scott Thomas,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
